Vorname Original;Original haeufige Schreibweise;Anzahl 1984-2018;Rang 1984-2018;Anzahl 2018;Rang 2018
Abdelhady;Abdulhadi;1;9418;-;-
Abdelhak;Abdelhak;1;9418;-;-
Abdelhakim;Abdelhakim;1;9418;-;-
Abdelhalek;Abdelhalek;1;9418;-;-
Abdelkader;Abdelkader;3;5161;-;-
Abdelkarim;Abdelkarim;1;9418;-;-
Abdelkrim;Abdelkrim;1;9418;-;-
Abdellah;Abdullah;1;9418;-;-
Abdellatif;Abdellatif;1;9418;-;-
Abdelmajid;Abdelmajid;1;9418;-;-
Abdel-Malek;Abdul-Malik;1;9418;-;-
Abdelrahman;Abdurrahman;47;1030;1;1791
Abdel-Rahman;Abdurrahman;6;3462;-;-
Abdelrazak;Abdelrazak;1;9418;1;1791
Abdelsalam;Abdussalam;1;9418;-;-
Abdelsatar;Abdelsatar;1;9418;1;1791
Abdelsayed;Abdelsayed;1;9418;-;-
Abdenasir;Abdenasir;1;9418;-;-
Abderahman;Abderahman;1;9418;1;1791
Abderrahim;Abderrahim;1;9418;-;-
Abderrahman;Abdurrahman;4;4360;-;-
Abderrahmen;Abdurrahman;3;5161;-;-
Abdi;Abdi;9;2736;2;1237
Abdiasis;Abdiasis;2;6465;-;-
Abdiaziz;Abdiaziz;2;6465;1;1791
Abdibasid;Abdibasid;1;9418;-;-
Abdifatah;Abdifatah;2;6465;-;-
Abdigani;Abdigani;1;9418;-;-
Abdihafid;Abdihafid;1;9418;-;-
Abdihamid;Abdihamid;1;9418;1;1791
Abdijabaar;Abdijabaar;1;9418;-;-
Abdikani;Abdikani;1;9418;-;-
Abdikarim;Abdikarim;2;6465;-;-
Abdikhani;Abdikhani;1;9418;-;-
Abdikhliq;Abdikhliq;1;9418;-;-
Abdil;Abdil;1;9418;-;-
Abdilaahi;Abdilaahi;1;9418;-;-
Abdillahi;Abdillahi;1;9418;-;-
Abdilmalik;Abdul-Malik;1;9418;-;-
Abdimalik;Abdimalik;1;9418;-;-
Abdinasir;Abdinasir;1;9418;-;-
Abdinur;Abdinur;1;9418;-;-
Abdirahman;Abdurrahman;16;1931;3;954
Abdi-Rahman;Abdi-Rahman;1;9418;-;-
Abdi-Rauf;Abdi-Rauf;1;9418;-;-
Abdirisak;Abdirisak;1;9418;-;-
Abdirisaq;Abdirisaq;1;9418;-;-
Abdirizak;Abdirizak;1;9418;-;-
Abdirsaaq;Abdirsaaq;1;9418;-;-
Abdisabur;Abdisabur;1;9418;-;-
Abdisamad;Abdisamad;1;9418;-;-
Abdi-Samad;Abdi-Samad;1;9418;-;-
Abdishakur;Abdishakur;1;9418;-;-
Abdishakuur;Abdishakuur;1;9418;-;-
Abdiwasa;Abdiwasa;1;9418;-;-
Abdiwasi;Abdiwasi;1;9418;-;-
Abdizemad;Abdizemad;1;9418;1;1791
Abdo;Abdo;1;9418;1;1791
Abdoelrahman;Abdurrahman;1;9418;-;-
Abdol;Abdul;2;6465;-;-
Abdollah;Abdullah;1;9418;-;-
Abdolwahab;Abdolwahab;1;9418;-;-
Abdou;Abdou;1;9418;-;-
Abdoul;Abdoul;1;9418;-;-
Abdoulaye;Abdoulaye;2;6465;-;-
Abdoul-Barri;Abdoul-Barri;1;9418;1;1791
Abdrafie;Abdrafie;1;9418;1;1791
Abd-Rahim;Abd-Rahim;1;9418;-;-
Abd-Rahman;Abd-Rahman;1;9418;-;-
Abd-Sattaar;Abd-Sattaar;1;9418;-;-
Abdu;Abdu;6;3462;-;-
Abdul;Abdul;147;506;12;402
Abdül;Abdul;9;2736;-;-
Abdula;Abdullah;4;4360;-;-
Abdulaahi;Abdullah;2;6465;-;-
Abdulah;Abdullah;13;2212;1;1791
Abdulahi;Abdulahi;1;9418;1;1791
Abdulah-Naim;Abdulah-Naim;1;9418;-;-
Abdulai;Abdulai;1;9418;-;-
Abdul-Alim;Abdul-Alim;2;6465;-;-
Abdul-Arif;Abdul-Arif;1;9418;-;-
Abdulaz;Abdulaz;1;9418;-;-
Abdulaziz;Abdulaziz;8;2934;-;-
Abdul-Aziz;Abdulaziz;2;6465;-;-
Abdül-Aziz;Abdulaziz;1;9418;-;-
Abdülaziz-Cinar;Abdülaziz-Cinar;1;9418;1;1791
Abdulbaki;Abdulbaki;13;2212;-;-
Abdulbâki;Abdulbaki;1;9418;-;-
Abdülbaki;Abdulbaki;5;3825;-;-
Abdulbasir;Abdulbasir;1;9418;-;-
Abdulbasit;Abdulbasit;1;9418;-;-
Abdülber;Abdülber;1;9418;-;-
Abdülcelil;Abdülcelil;1;9418;-;-
Abdulchalim;Abdulchalim;1;9418;-;-
Abdul-Chalim;Abdul-Chalim;1;9418;-;-
Abdul-Dzhabbar;Abdul-Dzhabbar;1;9418;-;-
Abdul-Dzhalil;Abdul-Dzhalil;1;9418;-;-
Abdulfatah;Abdulfatah;1;9418;1;1791
Abdulfattakh;Abdulfattakh;1;9418;-;-
Abdülgadir;Abdülgadir;1;9418;-;-
Abdulhadi;Abdulhadi;3;5161;-;-
Abdul-Hadi;Abdulhadi;1;9418;-;-
Abdülhadi;Abdulhadi;1;9418;-;-
Abdul-Hafiz;Abdul-Hafiz;1;9418;-;-
Abdulhai;Abdulhai;1;9418;1;1791
Abdulhakem;Abdulhakem;1;9418;-;-
Abdülhakem;Abdulhakim;1;9418;-;-
Abdulhakim;Abdulhakim;3;5161;1;1791
Abdul-Hakim;Abdulhakim;1;9418;-;-
Abdülhalik;Abdülhalik;1;9418;-;-
Abdulhalim;Abdulhalim;11;2451;-;-
Abdul-Halim;Abdul-Halim;13;2212;1;1791
Abdülhalim;Abdülhalim;1;9418;-;-
Abdulhamid;Abdulhamid;14;2112;2;1237
Abdul-Hamid;Abdulhamid;4;4360;2;1237
Abdülhamid;Abdulhamid;5;3825;-;-
Abdulhamid-Han;Abdulhamid-Han;1;9418;-;-
Abdulhamit;Abdulhamid;2;6465;-;-
Abdülhamit;Abdulhamid;4;4360;-;-
Abdulhamithan;Abdulhamithan;1;9418;-;-
Abdulhan;Abdulhan;1;9418;-;-
Abdulhaqim;Abdulhaqim;1;9418;-;-
Abdulhay;Abdulhay;1;9418;-;-
Abdulilah;Abdulilah;1;9418;-;-
Abdulkader;Abdulkader;1;9418;-;-
Abdulkadir;Abdulkadir;48;1018;-;-
Abdul-Kadir;Abdulkadir;5;3825;-;-
Abdülkadir;Abdulkadir;17;1846;-;-
Abdulkadir-Geylani;Abdulkadir-Geylani;1;9418;-;-
Abdulkalik;Abdulkalik;1;9418;-;-
Abdulkarim;Abdulkarim;8;2934;2;1237
Abdul-Karim;Abdul-Karim;3;5161;-;-
Abdulkerim;Abdulkerim;12;2317;-;-
Abdul-Kerim;Abdul-Kerim;7;3148;-;-
Abdülkerim;Abdülkerim;6;3462;-;-
Abdull;Abdul;3;5161;-;-
Abdulla;Abdullah;22;1591;3;954
Abdullah;Abdullah;495;248;42;147
Abdullah-Azzam;Abdullah-Azzam;1;9418;1;1791
Abdullah-Emin;Abdullah-Emin;1;9418;-;-
Abdullahi;Abdullah;7;3148;-;-
Abdullah-Lors;Abdullah-Lors;1;9418;1;1791
Abdullah-Ömer;Abdullah-Ömer;1;9418;-;-
Abdullah-Orhan;Abdullah-Orhan;1;9418;-;-
Abdullatif;Abdullatif;7;3148;1;1791
Abdul-Lâtif;Abdullatif;1;9418;-;-
Abdullkadir;Abdullkadir;1;9418;-;-
Abdullrahim;Abdurrahim;1;9418;-;-
Abdullrahman;Abdurrahman;1;9418;-;-
Abdull-Rahman;Abdull-Rahman;1;9418;-;-
Abdullrauf;Abdullrauf;1;9418;-;-
Abdulmadjid;Abdulmadjid;1;9418;-;-
Abdulmajid;Abdulmajid;1;9418;-;-
Abdulmalik;Abdul-Malik;22;1591;5;711
Abdul-Malik;Abdul-Malik;27;1415;1;1791
Abdulmalik-Hakan;Abdulmalik-Hakan;1;9418;-;-
Abdul-Martin;Abdul-Martin;1;9418;-;-
Abdulmazhit;Abdulmazhit;1;9418;-;-
Abdulmecid;Abdulmecid;1;9418;-;-
Abdulmecit;Abdulmecit;1;9418;-;-
Abdülmecit;Abdelmajid;1;9418;-;-
Abdulmedjid;Abdulmedjid;1;9418;-;-
Abdulmelik;Abdulmelik;3;5161;-;-
Abdülmelik;Abdülmelik;1;9418;-;-
Abdülmetin;Abdülmetin;1;9418;-;-
Abdulmoeed;Abdulmoeed;1;9418;-;-
Abdulmoti;Abdulmoti;1;9418;1;1791
Abdulmuiz;Abdulmuiz;1;9418;-;-
Abdul-Mumin;Abdul-Mumin;1;9418;-;-
Abdulmuqit;Abdulmuqit;1;9418;-;-
Abdülmüttalib;Abdülmüttalib;1;9418;-;-
Abdulnasir;Abdulnasir;1;9418;-;-
Abdulnuur;Abdulnuur;1;9418;-;-
Abdulrachim;Abdurrahim;1;9418;-;-
Abdul-Rachim;Abdurrahim;3;5161;-;-
Abdulrachman;Abdulrachman;1;9418;-;-
Abdul-Rachman;Abdurrahman;2;6465;-;-
Abdulraham;Abdulraham;1;9418;1;1791
Abdulrahim;Abdurrahim;2;6465;-;-
Abdul-Rahim;Abdurrahim;5;3825;-;-
Abdulrahman;Abdurrahman;37;1183;3;954
Abdul-Rahman;Abdurrahman;10;2599;-;-
Abdul-Rasaq;Abdul-Rasaq;1;9418;-;-
Abdul-Rashid;Abdul-Rashid;1;9418;-;-
Abdulrhman;Abdulrhman;1;9418;-;-
Abdul-Salah;Abdul-Salah;1;9418;-;-
Abdulsalam;Abdussalam;1;9418;-;-
Abdul-Salam;Abdul-Salam;2;6465;-;-
Abdulsamad;Abdulsamed;3;5161;-;-
Abdulsamed;Abdulsamed;9;2736;-;-
Abdul-Samed;Abdulsamed;1;9418;-;-
Abdülsamed;Abdülsamed;1;9418;-;-
Abdül-Samed;Abdulsamed;1;9418;-;-
Abdulsamet;Abdulsamed;8;2934;-;-
Abdul-Samet;Abdulsamed;1;9418;-;-
Abdul-Semih;Abdul-Semih;1;9418;-;-
Abdulvahap;Abdulvahap;1;9418;-;-
Abdulvahid;Abdul-Vahid;2;6465;-;-
Abdul-Vahid;Abdul-Vahid;2;6465;-;-
Abdülvahid;Abdul-Vahid;1;9418;-;-
Abdulvahit;Abdul-Vahid;1;9418;-;-
Abdulvali;Abdulvali;1;9418;-;-
Abdülvedüd;Abdülvedüd;1;9418;-;-
Abdülvehhab;Abdülvehhab;1;9418;1;1791
Abdul-Wachid;Abdul-Wachid;1;9418;1;1791
Abdulwahab;Abdulwahab;4;4360;-;-
Abdul-Wahab;Abdul-Wahab;2;6465;-;-
Abdulwahid;Abdulwahid;1;9418;1;1791
Abdul-Wahid;Abdul-Vahid;1;9418;-;-
Abdulwares;Abdulwares;1;9418;-;-
Abdulzahir;Abdulzahir;1;9418;-;-
Abdur;Abdul;7;3148;-;-
Abdurachman;Abdurrahman;5;3825;-;-
Abdurahim;Abdurrahim;7;3148;1;1791
Abdurahman;Abdurrahman;26;1449;2;1237
Abdu-Rahman;Abdurrahman;1;9418;-;-
Abdurakhman;Abdurakhman;1;9418;-;-
Abdurazak;Abdurazak;1;9418;-;-
Abdurohman;Abdurohman;1;9418;-;-
Abdurragip;Abdurragip;1;9418;-;-
Abdurraheem;Abdurrahim;1;9418;-;-
Abdurrahim;Abdurrahim;16;1931;3;954
Abdürrahim;Abdurrahim;3;5161;-;-
Abdurrahman;Abdurrahman;118;581;9;483
Abdur-Rahman;Abdur-Rahman;2;6465;-;-
Abdürrahman;Abdurrahman;3;5161;-;-
Abdur-Rashid;Abdur-Rashid;1;9418;-;-
Abdurrezzag;Abdurrezzag;1;9418;-;-
Abdüs;Abdüs;1;9418;-;-
Abdusalam;Abdusalam;2;6465;1;1791
Abdusamed;Abdulsamed;2;6465;1;1791
Abdüsamet;Abdulsamed;1;9418;-;-
Abdussalam;Abdussalam;3;5161;1;1791
Abdussamed;Abdulsamed;9;2736;-;-
Abdüssamed;Abdulsamed;8;2934;-;-
Abdussamet;Abdussamet;1;9418;-;-
Abdüssamet;Abdulsamed;6;3462;-;-
Abdüsselam;Abdussalam;2;6465;-;-
Abdüsselâm;Abdussalam;1;9418;-;-
Abdussettar;Abdussettar;1;9418;-;-
Abdyl;Abdyl;1;9418;-;-
Abed;Abed;4;4360;-;-
Abedallah;Abedallah;1;9418;-;-
Abedin;Abedin;4;4360;1;1791
Abel;Abel;63;849;9;483
Ábel;Abel;11;2451;2;1237
Abelardo;Abelardo;1;9418;-;-
Abel-Beniamin;Abel-Beniamin;1;9418;-;-
Abel-Benjamin;Abel-Benjamin;1;9418;-;-
Abel-Bryan;Abel-Bryan;1;9418;-;-
Abel-Filip;Abel-Filip;1;9418;-;-
Abel-Nicolae;Abel-Nicolae;1;9418;1;1791
Abel-Valentino;Abel-Valentino;1;9418;1;1791
Abenezer;Abenezer;1;9418;-;-
Abes;Abes;1;9418;-;-
Abgar;Abgar;1;9418;-;-
Abhaj;Abhaj;1;9418;1;1791
Abhay;Abhay;4;4360;-;-
Abhi;Abhi;2;6465;-;-
Abhijot;Abhijot;2;6465;-;-
Abhik;Abhik;1;9418;-;-
Abhinav;Abhinav;1;9418;-;-
Abhiroop;Abhiroop;1;9418;-;-
Abhishek;Abhishek;2;6465;-;-
Abi;Abi;1;9418;-;-
Abid;Abid;8;2934;-;-
Abidin;Abidin;2;6465;-;-
Abiel;Abel;5;3825;1;1791
Abiel-Natan;Abiel-Natan;1;9418;-;-
Abijot;Abijot;3;5161;-;-
Abil;Abel;1;9418;-;-
Abill;Abel;1;9418;-;-
Abimelech;Abimelech;1;9418;-;-
Abir;Abir;2;6465;-;-
Abjan;Abjan;1;9418;-;-
Abkar;Abkar;1;9418;-;-
Ablie;Ablie;1;9418;-;-
Abner;Abner;2;6465;1;1791
Abner-Alin;Abner-Alin;1;9418;-;-
Abobakar;Abobakar;1;9418;-;-
Abolfazl;Abolfazl;10;2599;-;-
Aboobaker;Aboobaker;1;9418;-;-
Aboubacar;Aboubacar;2;6465;-;-
Aboubacar-Sidiki;Aboubacar-Sidiki;1;9418;-;-
Aboudah;Aboudah;1;9418;-;-
Above;Above;1;9418;-;-
Abraam;Ibrahim;2;6465;-;-
Abraham;Ibrahim;46;1042;7;559
Abraham-David;Abraham-David;1;9418;-;-
Abram;Avram;3;5161;-;-
Abrar;Abrar;4;4360;-;-
Abraxas;Abraxas;1;9418;-;-
Abrian;Abrian;1;9418;-;-
Abris;Abris;1;9418;-;-
Ábris;Abris;1;9418;-;-
Abti;Abti;1;9418;-;-
Abtin;Abtin;6;3462;-;-
Abu;Abu;17;1846;3;954
Abualhasan;Abualhasan;1;9418;-;-
Abubacarr;Abubacarr;1;9418;1;1791
Abubakar;Ebubekir;46;1042;4;808
Abu-Bakar;Ebubekir;16;1931;1;1791
Abubaker;Ebubekir;3;5161;-;-
Abubakr;Ebubekir;16;1931;1;1791
Abu-Bakr;Ebubekir;6;3462;-;-
Abubeshir;Abubeshir;1;9418;-;-
Abu-Halid;Abu-Halid;1;9418;-;-
Abujahjah;Abujahjah;1;9418;-;-
Abul;Abul;1;9418;-;-
Abulfazel;Abulfazel;1;9418;-;-
Abulfazl;Abulfazl;5;3825;-;-
Abu-Muhammad;Abu-Muhammad;1;9418;-;-
Abu-Muslim;Abu-Muslim;2;6465;-;-
Abundance;Abundance;1;9418;-;-
Abu-Sallah;Abu-Sallah;1;9418;-;-
Abusayaf;Abusayaf;1;9418;-;-
Abu-Sufian;Abu-Sufian;1;9418;-;-
Abu-Talal;Abu-Talal;1;9418;-;-
Abutalib-Alan;Abutalib-Alan;1;9418;-;-
Abuzar;Abuzar;2;6465;1;1791
Abuzer;Abuzer;3;5161;-;-
Abyan;Abyan;1;9418;-;-
Abyaz;Abyaz;1;9418;-;-
Ace;Ace;4;4360;-;-
Ace-Jericho;Ace-Jericho;1;9418;-;-
Achill;Achill;4;4360;-;-
Achille;Achille;2;6465;-;-
Achilleas;Achilleas;8;2934;1;1791
Achilles;Achilles;9;2736;1;1791
Achilleus;Achilleus;1;9418;-;-
Achim;Achim;145;511;0;0
Achim-John;Achim-John;1;9418;1;1791
Achint;Achint;1;9418;1;1791
Achmad;Ahmed;10;2599;-;-
Achmed;Ahmed;26;1449;-;-
Achmed-Karim;Achmed-Karim;1;9418;-;-
Achmet;Ahmed;1;9418;-;-
Achraf;Achraf;3;5161;-;-
Achror;Achror;1;9418;-;-
Aćim;Aćim;1;9418;-;-
Acun;Acun;1;9418;-;-
Ada;Ada;13;2212;-;-
Adahan;Adahan;2;6465;-;-
Adal;Adal;4;4360;-;-
Adalbero;Albert;1;9418;-;-
Adalbert;Albert;17;1846;-;-
Adalet;Adalet;1;9418;-;-
Adalsteinn;Adalsteinn;1;9418;-;-
Adam;Adam;1392;128;164;54
Ádam;Adam;1;9418;1;1791
Ádám;Adam;48;1018;11;425
Adama;Adam;2;6465;-;-
Adam-Andre;Adam-Andre;1;9418;-;-
Adamas;Adamas;1;9418;-;-
Adam-Gabriel;Adam-Gabriel;1;9418;-;-
Adam-Johann;Adam-Johann;1;9418;-;-
Adam-Leonardo;Adam-Leonardo;1;9418;-;-
Adam-Luca;Adam-Luca;1;9418;-;-
Adamo;Adam;1;9418;-;-
Adams;Adam;3;5161;-;-
Adam-Simon;Adam-Simon;1;9418;-;-
Adan;Adam;3;5161;-;-
Adán;Adam;1;9418;-;-
Adar;Adar;28;1388;2;1237
Adar-Adil;Adar-Adil;1;9418;-;-
Addi;Addi;3;5161;-;-
Addis;Addis;2;6465;-;-
Ade;Ade;1;9418;-;-
Adebo;Adebo;1;9418;-;-
Adebowale;Adebowale;2;6465;1;1791
Adeel;Adeel;3;5161;-;-
Adefemi;Adefemi;1;9418;-;-
Adel;Adil;51;981;4;808
Adelbert;Albert;1;9418;-;-
Adelin;Adelin;4;4360;-;-
Adelin-Ionuṭ;Adelin-Ionuṭ;1;9418;-;-
Adelino-Daniel;Adelino-Daniel;1;9418;-;-
Adell;Adell;1;9418;-;-
Adella;Adella;1;9418;-;-
Adelmo;Adelmo;2;6465;1;1791
Adelon;Adelon;1;9418;-;-
Adem;Adam;279;357;28;212
Ademcan;Ademcan;1;9418;-;-
Adem-Efe;Adem-Efe;1;9418;-;-
Adem-Emir;Adem-Emir;1;9418;-;-
Adem-Hüseyin;Adem-Hüseyin;1;9418;-;-
Ademir;Ademir;1;9418;-;-
Adem-Neil;Adem-Neil;1;9418;1;1791
Ademola;Ademola;1;9418;-;-
Adem-Yasin;Adem-Yasin;1;9418;-;-
Aden;Aden;8;2934;1;1791
Adeola;Adeola;1;9418;-;-
Adesh;Adesh;1;9418;-;-
Adetokunbo;Adetokunbo;1;9418;-;-
Adetomiwa;Adetomiwa;1;9418;1;1791
Adeyansa;Adeyansa;1;9418;-;-
Adham;Adam;35;1231;3;954
Adhamh;Adam;1;9418;-;-
Adhem;Adam;1;9418;-;-
Adhiban;Adhiban;1;9418;-;-
Adhisha;Adhisha;1;9418;-;-
Adhrit;Adhrit;1;9418;-;-
Adhurim;Adhurim;6;3462;-;-
Adi;Adi;24;1513;5;711
Adian;Adian;107;616;20;276
Adiat;Adiat;1;9418;-;-
Adib;Adib;10;2599;1;1791
Adiel;Adiel;1;9418;-;-
Adigüzel;Adigüzel;1;9418;-;-
Adijan;Adijan;16;1931;-;-
Adil;Adil;58;897;6;637
Adil-Burak;Adil-Burak;1;9418;-;-
Adilcan;Adilcan;4;4360;1;1791
Adi-Leander;Adi-Leander;1;9418;-;-
Adileray;Adileray;1;9418;-;-
Adilhan;Adilhan;1;9418;-;-
Adilon;Adilon;2;6465;-;-
Adil-Yakub;Adil-Yakub;1;9418;-;-
Adin;Adin;321;328;32;192
Adinn;Adinn;1;9418;-;-
Adino;Adino;1;9418;-;-
Adion;Adion;1;9418;-;-
Adir;Adir;2;6465;-;-
Adis;Adis;126;558;7;559
Adit;Adit;1;9418;-;-
Aditay;Aditay;1;9418;-;-
Aditiya;Aditiya;1;9418;-;-
Aditya;Aditya;12;2317;1;1791
Adiv;Adiv;1;9418;-;-
Adiyan;Adiyan;1;9418;-;-
Adiyat;Adiyat;1;9418;-;-
Adjan;Adjan;3;5161;-;-
Adjiln;Adjiln;1;9418;-;-
Adlan;Adlan;6;3462;1;1791
Admin;Admin;8;2934;1;1791
Admir;Admir;44;1062;1;1791
Admirim;Admirim;1;9418;-;-
Admir-Resid;Admir-Resid;1;9418;-;-
Adnaan;Adnaan;1;9418;-;-
Adnam;Adnam;1;9418;-;-
Adnan;Adnan;241;389;22;258
Adnel;Adnel;3;5161;-;-
Adni;Adni;4;4360;1;1791
Adnit;Adnit;4;4360;1;1791
Ado;Ado;2;6465;-;-
Adolf;Adolf;85;703;0;0
Adom;Adom;1;9418;-;-
Adomas;Adomas;1;9418;-;-
Adonai;Adonis;3;5161;1;1791
Adonaj;Adonis;1;9418;-;-
Adonis;Adonis;30;1324;3;954
Adonis-Harald;Adonis-Harald;1;9418;-;-
Adonis-Raphael;Adonis-Raphael;1;9418;-;-
Adonit;Adonit;6;3462;1;1791
Adorjan;Adrian;3;5161;-;-
Adorján-Olivér;Adorján-Olivér;1;9418;-;-
Adra;Adra;1;9418;-;-
Adrain;Adrian;1;9418;-;-
Adreano;Adrian;2;6465;-;-
Adri;Adri;3;5161;-;-
Adrià;Adrian;1;9418;-;-
Adriaan;Adrian;1;9418;-;-
Adriaan-Alexander;Adriaan-Alexander;1;9418;-;-
Adrian;Adrian;4145;64;197;46
Adrián;Adrian;22;1591;4;808
Adrian-Aaron;Adrian-Aaron;1;9418;-;-
Adrian-Alexander;Adriaan-Alexander;1;9418;-;-
Adrian-Alvian;Adrian-Alvian;1;9418;-;-
Adrian-Andre;Adrian-Andre;1;9418;-;-
Adrian-Arne;Adrian-Arne;1;9418;-;-
Adrian-Ben;Adrian-Ben;1;9418;-;-
Adrian-Bruce;Adrian-Bruce;1;9418;-;-
Adrian-Daniel;Adrian-Daniel;1;9418;-;-
Adrian-Eduard;Adrian-Eduard;1;9418;-;-
Adrian-Herbert;Adrian-Herbert;1;9418;-;-
Adrian-Ionel;Adrian-Ionel;1;9418;-;-
Adrian-Jayden;Adrian-Jayden;1;9418;1;1791
Adrian-Jonas;Adrian-Jonas;1;9418;-;-
Adrian-Leonardo;Adrian-Leonardo;1;9418;-;-
Adrian-Louis;Adrian-Louis;1;9418;-;-
Adrian-Luca;Adrian-Luca;1;9418;-;-
Adrian-Lukas;Adrian-Lukas;1;9418;-;-
Adrian-Milan;Adrian-Milan;1;9418;-;-
Adriann;Adriann;1;9418;-;-
Adriano;Adrian;207;414;13;371
Adriano-Alen;Adriano-Alen;1;9418;-;-
Adriano-Armando;Adriano-Armando;1;9418;-;-
Adriano-Dominik;Adriano-Dominik;1;9418;-;-
Adriano-Melvin;Adriano-Melvin;1;9418;-;-
Adrian-Samuel;Adrian-Samuel;1;9418;-;-
Adrian-Velibor-Nikola;Adrian-Velibor-Nikola;1;9418;-;-
Adriatik;Adriatik;4;4360;-;-
Adriel;Adriel;12;2317;1;1791
Adrielle;Adrielle;1;9418;-;-
Adrien;Adrian;24;1513;-;-
Adrijan;Adrian;104;628;12;402
Adrijano;Adrian;8;2934;-;-
Adrijano-Philip;Adrijano-Philip;1;9418;-;-
Adrijan-Saša;Adrijan-Saša;1;9418;-;-
Adrijan-Vladimir;Adrijan-Vladimir;1;9418;-;-
