Vorname Original;Original haeufige Schreibweise;Anzahl 1984-2018;Rang 1984-2018;Anzahl 2018;Rang 2018
Aaban;Aaban;1;9418;-;-
Aabed;Aabed;2;6465;1;1791
Aaby;Aaby;1;9418;-;-
Aaden;Aaden;2;6465;-;-
Aadi;Aadi;3;5161;-;-
Aadish;Aadish;1;9418;-;-
Aadit;Aadit;3;5161;-;-
Aaditya;Aaditya;1;9418;-;-
Aadvik;Aadvik;1;9418;-;-
Aadyah;Aadyah;1;9418;-;-
Aahil;Aahil;5;3825;2;1237
Aahron;Aaron;1;9418;-;-
Aamer;Emir;2;6465;-;-
Aang;Aang;1;9418;-;-
Aanon;Aanon;1;9418;-;-
Aaon;Aaon;1;9418;-;-
Aaram;Aaram;1;9418;-;-
Aarav;Aarav;10;2599;-;-
Aaravkumar;Aaravkumar;1;9418;-;-
Aare;Aare;1;9418;-;-
Aaren;Aaron;2;6465;1;1791
Aari;Aari;1;9418;-;-
Aarian;Aarian;2;6465;-;-
Aariz;Aariz;2;6465;-;-
Âarlen;Âarlen;1;9418;-;-
Aaron;Aaron;1526;122;98;85
Aarón;Aaron;4;4360;-;-
Aáron;Aaron;1;9418;-;-
Aaron-Amadeus;Aaron-Amadeus;1;9418;-;-
Aaron-Cassian;Aaron-Cassian;1;9418;-;-
Aaron-Dario;Aaron-Dario;1;9418;-;-
Aaron-David;Aaron-David;2;6465;1;1791
Aaron-Eden;Aaron-Eden;1;9418;-;-
Aaron-Eliah;Aaron-Eliah;1;9418;-;-
Aaron-Jason;Aaron-Jason;1;9418;1;1791
Aaron-Jesper;Aaron-Jesper;1;9418;-;-
Aaron-John;Aaron-John;1;9418;-;-
Aaron-Joseph;Aaron-Joseph;1;9418;-;-
Aaron-Levi;Aaron-Levi;2;6465;-;-
Aaron-Luca;Aaron-Luca;3;5161;-;-
Aaron-Mael;Aaron-Mael;1;9418;1;1791
Aaron-Maria;Aaron-Maria;1;9418;-;-
Aaron-Marvin;Aaron-Marvin;1;9418;-;-
Aaron-Noah;Aaron-Noah;2;6465;-;-
Aaron-Noel;Aaron-Noel;2;6465;-;-
Aaron-Paul;Aaron-Paul;1;9418;-;-
Aaron-Raoul;Aaron-Raoul;1;9418;-;-
Aaron-Thomas;Aaron-Thomas;1;9418;-;-
Âarthur;Arthur;1;9418;-;-
Aarudh;Aarudh;1;9418;-;-
Aarush;Aarush;1;9418;-;-
Aarvin;Aarvin;1;9418;-;-
Aaryan;Aaryan;7;3148;1;1791
Aashwin;Aashwin;1;9418;-;-
Aatos;Aatos;1;9418;-;-
Aavaideep;Aavaideep;1;9418;-;-
Aayan;Aayan;11;2451;-;-
Aaynankhan;Aaynankhan;1;9418;-;-
Aayush;Aayush;1;9418;-;-
Aazif;Aazif;1;9418;-;-
Aba;Aba;1;9418;-;-
Abai;Abai;1;9418;-;-
Șaban;Shaban;1;9418;-;-
Abanob;Abanob;2;6465;-;-
Abanoub;Abanoub;7;3148;-;-
Abas;Abas;11;2451;2;1237
Abaseen;Abaseen;1;9418;-;-
Abasin;Abasin;3;5161;-;-
Abass;Abass;2;6465;-;-
Abaz;Abaz;1;9418;1;1791
Abba;Abba;2;6465;-;-
Abbas;Abbas;35;1231;2;1237
Abbdullah;Abdullah;1;9418;-;-
Abbel;Abel;1;9418;-;-
Abckar;Abckar;1;9418;-;-
Abd;Abd;36;1200;4;808
Abda-Alah;Abda-Alah;1;9418;1;1791
Abdal;Abdul;3;5161;-;-
Abdalaziz;Abdalaziz;1;9418;-;-
Abdalbasit;Abdalbasit;1;9418;1;1791
Abdalgliel;Abdalgliel;1;9418;-;-
Abdalhadi;Abdalhadi;1;9418;-;-
Abdalkader;Abdalkader;1;9418;-;-
Abdalkarem;Abdalkarem;1;9418;1;1791
Abdalla;Abdullah;13;2212;-;-
Abdallah;Abdullah;43;1082;3;954
Abdallrhman;Abdurrahman;1;9418;-;-
Abdal-Maged;Abdal-Maged;1;9418;-;-
Abdalrahim;Abdalrahim;1;9418;-;-
Abdalrahman;Abdurrahman;2;6465;-;-
Abdalrhman;Abdurrahman;2;6465;-;-
Abdarahman;Abdurrahman;1;9418;-;-
Abdar-Rahman;Abdurrahman;1;9418;-;-
Abd-Arrohman;Abdurrahman;1;9418;-;-
Abdel;Abdul;21;1643;1;1791
Ab-Del;Abdul;1;9418;-;-
Abdelaziz;Abdelaziz;1;9418;-;-
Abdel-Aziz;Abdulaziz;1;9418;-;-
