Gemeinde-, Ortschafts-, Straßen- und PLZ-Verzeichnis;;;;;;;
Erstellt am:;09.07.2020 13:26:47;Teil:;Tirol;;;;
Gemeindekennziffer;Politische Gemeinde;Ortschaftskennziffer;Ortschaftsname;Straßenkennziffer;Straßenname;Postleitzahl;Gemeindecode
70101;Innsbruck;16399;Amras;039230;Aldranser Straße;6020;70101
70101;Innsbruck;16399;Amras;039231;Algunder Straße;6020;70101
70101;Innsbruck;16399;Amras;039239;Amraser Straße;6020;70101
70101;Innsbruck;16399;Amras;039240;Amraser-See-Straße;6020;70101
70101;Innsbruck;16399;Amras;039244;Andechsstraße;6020;70101
70101;Innsbruck;16399;Amras;039252;Archenweg;6020;70101
70101;Innsbruck;16399;Amras;039269;Bichlweg;6020;70101
70101;Innsbruck;16399;Amras;039274;Bleichenweg;6020;70101
70101;Innsbruck;16399;Amras;039305;Domanigweg;6020;70101
70101;Innsbruck;16399;Amras;039325;Etrichgasse;6020;70101
70101;Innsbruck;16399;Amras;039358;Gerhart-Hauptmann-Straße;6020;70101
70101;Innsbruck;16399;Amras;039359;Geyrstraße;6020;70101
70101;Innsbruck;16399;Amras;039365;Grabenweg;6020;70101
70101;Innsbruck;16399;Amras;039371;Grenzstraße;6020;70101
70101;Innsbruck;16399;Amras;039372;Griesauweg;6020;70101
70101;Innsbruck;16399;Amras;039440;Josef-Pöll-Straße;6020;70101
70101;Innsbruck;16399;Amras;039464;Kirchmayrgasse;6020;70101
