Vorname Original;Original haeufige Schreibweise;Anzahl 1984-2018;Rang 1984-2018;Anzahl 2018;Rang 2018
Abygale-Eleora;Abygale-Eleora;1;10439;-;-
Acacia;Acacia;1;10439;1;1923
Acelya;Acelya;50;1157;1;1923
Açelya;Acelya;42;1295;2;1339
Acelya-Naomi;Acelya-Naomi;1;10439;-;-
Açelya-Tuana;Açelya-Tuana;1;10439;-;-
Achaia;Achaia;1;10439;-;-
Achillea;Achillea;2;7246;-;-
Achillina;Achillina;1;10439;-;-
Actima;Actima;1;10439;-;-
Ada;Ada;169;550;14;369
Ada-Augustina;Ada-Augustina;1;10439;-;-
Adaeze;Adaeze;3;5829;2;1339
Adah;Adah;5;4385;-;-
Ada-Katharina;Ada-Katharina;1;10439;-;-
Adalea;Adalea;1;10439;-;-
Adalena;Adalena;1;10439;-;-
Adalet;Adalet;5;4385;-;-
Adaleta;Adaleta;3;5829;-;-
Adalgisa;Adalgisa;1;10439;-;-
Adalia-Zola;Adalia-Zola;1;10439;-;-
Adalie;Adalie;1;10439;-;-
Adaline;Adaline;2;7246;1;1923
Ada-Livia;Ada-Livia;1;10439;-;-
Adalyn;Adalyn;1;10439;-;-
Adama;Adama;4;4969;-;-
Adan;Adan;1;10439;1;1923
Ada-Natsuko;Ada-Natsuko;1;10439;-;-
Adanna;Adanna;7;3644;2;1339
Adanur;Adanur;1;10439;-;-
Adaora;Adaora;1;10439;-;-
Adar;Adar;2;7246;1;1923
Ada-Sophie;Ada-Sophie;2;7246;-;-
Adasu;Adasu;2;7246;-;-
Adaugo;Adaugo;1;10439;-;-
Adbie;Adbie;1;10439;-;-
Adda;Adda;1;10439;-;-
Adea;Adea;61;1014;9;520
Adeela;Adeela;1;10439;-;-
Adeena;Adeena;1;10439;-;-
Adeja;Adeja;1;10439;-;-
Adel;Adele;10;2981;2;1339
Adél;Adele;17;2184;3;1029
Adèl;Adele;1;10439;-;-
Adela;Adele;81;878;3;1029
Adéla;Adele;2;7246;1;1923
Adelaida;Adelaida;1;10439;1;1923
Adela-Isabelle;Adela-Isabelle;1;10439;-;-
Adelais-Marie;Adelais-Marie;1;10439;-;-
Adela-Marinela;Adela-Marinela;1;10439;-;-
Adela-Sara;Adela-Sara;1;10439;-;-
Adele;Adele;249;440;22;263
Adéle;Adele;1;10439;1;1923
Adèle;Adele;2;7246;-;-
Adele-Sophia;Adele-Sophia;1;10439;-;-
Adelheid;Adelheid;169;550;2;1339
Adelia;Adelia;4;4969;1;1923
Adélia;Adelia;2;7246;-;-
Adelija;Adelija;1;10439;1;1923
Adelin;Adelin;3;5829;1;1923
Adelina;Adelina;153;593;11;451
Adelina-Cosmina;Adelina-Cosmina;1;10439;-;-
Adelina-Ioana;Adelina-Ioana;1;10439;-;-
Adelina-Isabel;Adelina-Isabel;1;10439;-;-
Adelina-Maria;Adelina-Maria;2;7246;1;1923
Adelina-Maria-Alessia;Adelina-Maria-Alessia;1;10439;-;-
Adelina-Rosalinda;Adelina-Rosalinda;1;10439;1;1923
Adelina-Sofia;Adelina-Sofia;1;10439;-;-
Adelinda;Adelinda;1;10439;-;-
Adelinde;Adelinde;1;10439;-;-
Adeline;Adelina;15;2352;3;1029
Adeline-Naomi;Adeline-Naomi;1;10439;-;-
Adelisa;Adelisa;33;1498;-;-
Adelisa-Ajla;Adelisa-Ajla;1;10439;1;1923
Adelise;Adelise;1;10439;-;-
Adelissa;Adelissa;2;7246;-;-
Adelita;Adelita;1;10439;-;-
Adeliya;Adeliya;1;10439;-;-
Adeliza;Adeliza;1;10439;-;-
Adelka;Adelka;1;10439;-;-
Adell;Adell;2;7246;-;-
Adella;Adella;1;10439;-;-
Adelle;Adelle;3;5829;1;1923
Adelona;Adelona;1;10439;-;-
Adelya;Adelya;2;7246;-;-
Ademija;Ademija;2;7246;-;-
Adenisa;Adenisa;1;10439;-;-
Adeona;Adeona;1;10439;1;1923
Adepa;Adepa;1;10439;-;-
Adesa;Adesa;1;10439;-;-
Adesewa;Adesewa;1;10439;-;-
Adesuwa;Adesuwa;1;10439;-;-
Adesuwa-Julia;Adesuwa-Julia;1;10439;-;-
Adetola;Adetola;1;10439;1;1923
Adeviye;Adeviye;1;10439;-;-
Adhira;Adhira;1;10439;1;1923
Adhiya;Adhiya;1;10439;-;-
Adhuresa;Adhuresa;1;10439;-;-
Adhya;Adhya;1;10439;-;-
Adi;Adi;2;7246;1;1923
Adia;Adia;4;4969;-;-
Adia-Magdalena;Adia-Magdalena;1;10439;-;-
Adiba;Adiba;5;4385;-;-
Adibah;Adibah;1;10439;-;-
Adidelina;Adidelina;1;10439;-;-
Adiel;Adiel;1;10439;1;1923
Adien;Adien;1;10439;-;-
Adifet;Adifet;1;10439;-;-
Adila;Adila;5;4385;1;1923
Adile;Adile;7;3644;1;1923
Adilena;Adilena;1;10439;-;-
Adilia;Adilia;3;5829;-;-
Adilja;Adilja;1;10439;-;-
Adilya;Adilya;4;4969;-;-
Adina;Adina;104;751;6;665
Adinai;Adinai;1;10439;-;-
Adina-Ioana;Adina-Ioana;1;10439;-;-
Adina-Ramona;Adina-Ramona;1;10439;-;-
Adinda;Adinda;2;7246;-;-
Adiola;Adiola;1;10439;-;-
Adira;Adira;3;5829;-;-
Adisa;Adisa;35;1447;1;1923
Adise;Adise;1;10439;-;-
Adisha;Adisha;2;7246;-;-
Adishree;Adishree;1;10439;-;-
Aditi;Aditi;6;3964;-;-
Adive;Adive;1;10439;-;-
Adiyah;Adiyah;1;10439;1;1923
Adjet;Adjet;1;10439;-;-
Adjoa;Adjoa;1;10439;-;-
Adla;Adla;6;3964;1;1923
Adlea;Adlea;1;10439;-;-
Admira;Admira;2;7246;-;-
Adn;Adn;1;10439;-;-
Adna;Adna;126;674;14;369
Adnana;Adnana;4;4969;-;-
Adnna;Adnna;1;10439;-;-
Adonesa;Adonesa;1;10439;-;-
Adonia;Adonia;1;10439;-;-
Adonisa;Adonesa;1;10439;-;-
Adonita;Adonita;1;10439;-;-
Adora;Adora;5;4385;-;-
Adorina;Adorina;1;10439;-;-
Adreana;Adriana;1;10439;-;-
Adria;Adria;3;5829;-;-
Adriana;Adriana;649;259;32;190
Adriana-Anna;Adriana-Anna;1;10439;-;-
Adriana-Dina;Adriana-Dina;1;10439;-;-
Adriana-Elisabeth;Adriana-Elisabeth;1;10439;-;-
Adriana-Lea;Adriana-Lea;1;10439;-;-
Adriana-Maria;Adriana-Maria;1;10439;-;-
Adriana-Paula;Adriana-Paula;1;10439;-;-
Adriana-Pia;Adriana-Pia;1;10439;-;-
Adriana-Tatjana;Adriana-Tatjana;1;10439;-;-
Adriana-Tiana;Adriana-Tiana;1;10439;1;1923
Adriana-Valentina;Adriana-Valentina;1;10439;-;-
Adriana-Vivienne;Adriana-Vivienne;1;10439;-;-
Adriane;Adriana;30;1575;-;-
Adrianna;Adriana;9;3164;-;-
Adrianne;Adriana;1;10439;-;-
Adriel;Adriel;1;10439;-;-
Adrielis;Adrielis;1;10439;-;-
Adrielly;Adrielly;1;10439;-;-
Adrienn;Adriana;6;3964;-;-
Adrienne;Adriana;19;2046;-;-
Adrijana;Adriana;80;880;7;599
Adrika;Adrika;1;10439;-;-
Adrina;Adrina;7;3644;1;1923
Adrita;Adrita;2;7246;-;-
Adshaya;Adshaya;1;10439;-;-
Advaitha;Advaitha;1;10439;1;1923
Advija;Advija;2;7246;1;1923
Advije;Advije;1;10439;-;-
Adwita;Adwita;1;10439;-;-
Adya;Adya;2;7246;-;-
Adyja;Adyja;1;10439;-;-
Aeia;Aeia;1;10439;-;-
Aeidah;Aeidah;1;10439;-;-
Aeinaz;Aeinaz;1;10439;-;-
Aela;Aela;17;2184;-;-
Aelia;Elia;4;4969;-;-
Aeliana;Aeliana;1;10439;-;-
Âelise;Âelise;1;10439;-;-
Aella;Aella;1;10439;-;-
Aemilia;Aemilia;6;3964;1;1923
Aemilila-Paulina;Aemilila-Paulina;1;10439;-;-
Aena;Aena;1;10439;-;-
Aenea;Aenea;4;4969;-;-
Aenna;Aenna;6;3964;1;1923
Aenne;Aenne;4;4969;-;-
Aeolia;Aeolia;1;10439;-;-
Aeon;Aeon;1;10439;-;-
Aeria;Aeria;1;10439;-;-
Aeriella;Aeriella;1;10439;-;-
Aerin;Aerin;1;10439;-;-
Aesha;Aesha;3;5829;-;-
Âeve;Âeve;1;10439;-;-
Afaf;Afaf;4;4969;-;-
Afarin;Afarin;2;7246;-;-
Aferdita;Aferdita;3;5829;1;1923
Afërdita;Aferdita;1;10439;-;-
Afi;Afi;1;10439;-;-
Afia;Afia;3;5829;-;-
Afiazahin;Afiazahin;1;10439;-;-
Afifa;Afifa;5;4385;1;1923
Afife;Afife;2;7246;1;1923
Afije;Afije;1;10439;-;-
Afijet;Afijet;1;10439;-;-
Afnaan;Afnaan;3;5829;-;-
Afnan;Afnan;11;2831;3;1029
Afoma;Afoma;1;10439;-;-
Afomiya;Afomiya;1;10439;-;-
Afonsa;Afonsa;1;10439;-;-
Afpia;Afpia;1;10439;-;-
Afra;Afra;60;1029;14;369
Afragül;Afragül;1;10439;1;1923
Afrah;Afrah;1;10439;-;-
Afran;Afran;1;10439;-;-
Afra-Nisa;Afra-Nisa;1;10439;-;-
Afranur;Afranur;1;10439;-;-
Afra-Nur;Afra-Nur;2;7246;-;-
Afra-Zeynep;Afra-Zeynep;1;10439;-;-
Afredita;Afredita;1;10439;-;-
Afreen;Afreen;1;10439;1;1923
Africa;Africa;1;10439;-;-
Afrida;Afrida;1;10439;-;-
Afrin;Afrin;4;4969;-;-
Afrodita;Afrodita;3;5829;-;-
Afrodita-Roxana;Afrodita-Roxana;1;10439;-;-
Afrodite;Afrodita;1;10439;-;-
Afrona;Afrona;2;7246;-;-
Afsa;Afsa;1;10439;-;-
Afsana;Afsana;4;4969;2;1339
Afsanah;Afsanah;1;10439;-;-
Afshan;Afshan;1;10439;-;-
Afsheen;Afsheen;1;10439;-;-
Aftab;Aftab;1;10439;-;-
Afza;Afza;1;10439;1;1923
Agamjot;Agamjot;1;10439;-;-
Agampreet;Agampreet;1;10439;-;-
Agape;Agape;1;10439;-;-
Agar;Hagar;1;10439;-;-
Agata;Agatha;12;2676;2;1339
Agáta;Agatha;1;10439;1;1923
Agatha;Agatha;32;1529;1;1923
Agatha-Marlena;Agatha-Marlena;1;10439;-;-
Agathe;Agatha;20;1987;1;1923
Agbal;Agbal;1;10439;-;-
Agelya;Agelya;2;7246;-;-
Aggam;Aggam;1;10439;1;1923
Aghapy;Aghapy;1;10439;-;-
Aghogho;Aghogho;1;10439;-;-
Agime;Agime;1;10439;-;-
Aglae;Aglaia;9;3164;-;-
Aglaia;Aglaia;11;2831;-;-
Aglaja;Aglaia;10;2981;-;-
Aglaje;Aglaia;1;10439;-;-
Aglaya;Aglaya;1;10439;1;1923
Agna;Agna;1;10439;-;-
Agne;Agne;1;10439;-;-
Agnella;Agnella;1;10439;-;-
Agnes;Ines;1268;177;23;256
Agnés;Ines;1;10439;-;-
Agnès;Ines;1;10439;-;-
Ágnes;Ines;3;5829;1;1923
Agnesa;Ines;40;1321;-;-
Agnes-Antonia;Agnes-Antonia;1;10439;-;-
Agnes-Chloe;Agnes-Chloe;1;10439;-;-
Agnese;Ines;1;10439;-;-
Agnes-Elisabeth;Agnes-Elisabeth;1;10439;-;-
Agnes-Hannah;Agnes-Hannah;1;10439;-;-
Agnes-Karina;Agnes-Karina;1;10439;-;-
Agnes-Katharina;Agnes-Katharina;1;10439;-;-
Agnes-Katrin;Agnes-Katharina;1;10439;-;-
Agnes-Lena;Agnes-Lena;1;10439;-;-
Agnes-Maria;Agnes-Maria;2;7246;-;-
Agnes-Theresa;Agnes-Theresa;1;10439;-;-
Agneta;Agnetha;1;10439;-;-
Agnetha;Agnetha;4;4969;-;-
Agni;Agni;1;10439;-;-
Agnia;Ines;1;10439;-;-
Agnieszka;Ines;5;4385;1;1923
Agnis;Agnis;1;10439;-;-
Agota;Agatha;1;10439;-;-
Ágota;Agatha;2;7246;-;-
Agreen;Agreen;1;10439;-;-
Agrin;Agrin;3;5829;1;1923
Ahana;Ahana;1;10439;1;1923
Ahed;Ahed;1;10439;1;1923
Ahellegen;Ahellegen;1;10439;-;-
Ahilla;Ahilla;1;10439;-;-
Ahin;Ahin;1;10439;-;-
Ahiu;Ahiu;1;10439;-;-
Ahlaam;Ahlaam;4;4969;1;1923
Ahlagül;Ahlagül;1;10439;-;-
Ahlam;Ahlam;15;2352;1;1923
Ahlem;Ahlem;3;5829;-;-
Ahlena;Ahlena;1;10439;-;-
Ahlina;Ahlina;1;10439;-;-
Ahmedina;Ahmedina;1;10439;-;-
Ahsen;Ahsen;44;1264;13;383
Ahsene;Ahsene;1;10439;-;-
Ahsen-Ebrar;Ahsen-Ebrar;1;10439;1;1923
Ahsen-Nas;Ahsen-Nas;1;10439;-;-
Ahsen-Nur;Ahsen-Nur;1;10439;1;1923
Ahsen-Sare;Ahsen-Sare;2;7246;1;1923
Ahsen-Șura;Ahsen-Șura;1;10439;1;1923
Ahu;Ahu;10;2981;1;1923
Ahunisa;Ahunisa;1;10439;-;-
Ahuser;Ahuser;1;10439;-;-
Ahyoka;Ahyoka;1;10439;-;-
Ai;Ai;5;4385;-;-
Aia;Aia;3;5829;-;-
Aiana;Aiana;2;7246;2;1339
Aibenis;Aibenis;1;10439;-;-
Aicha;Aicha;14;2464;2;1339
Aïcha;Aicha;3;5829;-;-
Aïcha-Valerie;Aïcha-Valerie;1;10439;-;-
Aida;Aida;190;513;8;562
Aida-Elisa;Aida-Elisa;1;10439;-;-
Aida-Elisabeta;Aida-Elisabeta;1;10439;-;-
Aida-Jasmina;Aida-Jasmina;1;10439;-;-
Aidan;Aidan;1;10439;-;-
Aida-Sonia;Aida-Sonia;1;10439;-;-
Aide;Aide;2;7246;-;-
Aideen;Aideen;1;10439;-;-
Aișe;Ayşe;4;4969;1;1923
Aihua;Aihua;1;10439;-;-
Aija;Aija;4;4969;-;-
Aijka;Aijka;1;10439;-;-
Aijla;Aijla;1;10439;-;-
Aika;Aika;2;7246;-;-
Aikaterini;Aikaterini;3;5829;-;-
Aiko;Aiko;3;5829;-;-
Aiko-Zoe;Aiko-Zoe;1;10439;-;-
Aila;Aila;20;1987;3;1029
Ailan;Ailan;1;10439;-;-
Aileen;Aileen;316;381;4;885
Aileena;Aileen;1;10439;-;-
Aileen-Diane;Aileen-Diane;1;10439;-;-
Aileen-Juana;Aileen-Juana;1;10439;-;-
Aileen-Lea;Aileen-Lea;1;10439;-;-
Aileen-Marie;Aileen-Marie;1;10439;-;-
Aileen-Noëlle;Aileen-Noëlle;1;10439;-;-
Aileen-Sophie;Aileen-Sophie;1;10439;-;-
Aileen-Valentina;Aileen-Valentina;1;10439;-;-
Ailey;Ailey;1;10439;-;-
Aili;Aili;2;7246;-;-
Ailia;Ailia;2;7246;-;-
Ailihan;Ailihan;1;10439;-;-
Ailila;Ailila;1;10439;-;-
Ailin;Aileen;21;1920;2;1339
Ailina;Aileen;14;2464;1;1923
Ailine;Aileen;3;5829;-;-
Ãilkay;Ãilkay;1;10439;-;-
Ãilknur;Ãilknur;1;10439;-;-
Ailleen;Aileen;1;10439;-;-
Ailyn;Ailyn;5;4385;1;1923
Aima;Aima;3;5829;1;1923
Aimaée;Amy;1;10439;-;-
Aimé;Amy;1;10439;-;-
Aimee;Amy;39;1344;3;1029
Aimée;Amy;33;1498;-;-
Aimèe;Amy;1;10439;-;-
Aimee-Luise;Aimee-Luise;1;10439;-;-
Aimeé-Raffaela;Aimeé-Raffaela;1;10439;-;-
Aimi;Amy;2;7246;-;-
Aimie;Amy;3;5829;-;-
Aimie-Lee;Aimie-Lee;1;10439;-;-
Aimúe;Amy;4;4969;-;-
Aimy;Amy;1;10439;-;-
Ain;Ain;1;10439;-;-
Aina;Ajna;13;2568;2;1339
Aina-Mia;Aina-Mia;1;10439;-;-
Ainara;Ainara;1;10439;-;-
Ainaz;Ainaz;1;10439;1;1923
Ainhoa;Ainhoa;8;3378;1;1923
Aino;Aino;7;3644;-;-
Ainoa;Ainoa;7;3644;-;-
Ainoah;Ainoah;1;10439;-;-
Ainslie;Ainslie;1;10439;-;-
Ainur;Ainur;1;10439;1;1923
Aiola;Aiola;2;7246;-;-
Aira;Aira;5;4385;1;1923
Aira-Jane;Aira-Jane;1;10439;-;-
Ãirem;Ãirem;3;5829;-;-
Airen;Airen;1;10439;-;-
Airin;Airin;2;7246;-;-
Aisa;Ayşe;17;2184;2;1339
Aiša;Ayşe;38;1368;3;1029
Aişa;Ayşe;1;10439;-;-
Aîsa;Ayşe;1;10439;-;-
Aisatou;Aisatou;1;10439;-;-
Aischa;Ayşe;110;724;6;665
Aischa-Noor;Aischa-Noor;1;10439;-;-
Aischat;Aischat;16;2267;1;1923
Aischeh;Aischeh;1;10439;-;-
Aise;Ayşe;10;2981;-;-
Aişe;Ayşe;25;1756;1;1923
Aişe-Ela;Aişe-Ela;1;10439;-;-
Aişe-Hümeyra;Aişe-Hümeyra;1;10439;-;-
Aisel;Aisel;1;10439;-;-
Aise-Nur;Aise-Nur;1;10439;-;-
Aişenur;Aişenur;1;10439;-;-
Aiseren;Aiseren;1;10439;-;-
Aişe-Şevval;Aişe-Şevval;1;10439;-;-
Aisha;Ayşe;217;482;18;298
Aïsha;Ayşe;1;10439;-;-
Äisha;Ayşe;1;10439;-;-
Aishah;Aishah;1;10439;-;-
Aisha-Islam;Aisha-Islam;1;10439;-;-
Aisha-Naomi;Aisha-Naomi;1;10439;-;-
Aishat;Aishat;1;10439;-;-
Aishe;Ayşe;8;3378;-;-
Aishveen;Aishveen;1;10439;-;-
Aishvi;Aishvi;1;10439;-;-
Aishwarya;Aishwarya;2;7246;-;-
Aisling;Aisling;3;5829;-;-
Aislinn;Aislinn;3;5829;-;-
Aisosa;Aisosa;4;4969;-;-
Aissata;Aissata;2;7246;-;-
Aissato;Aissato;1;10439;-;-
Aissatou;Aissatou;3;5829;-;-
Aïssatou;Aissatou;2;7246;-;-
Aisza;Aisza;1;10439;-;-
Aitana;Aitana;5;4385;-;-
Aiva;Aiva;1;10439;-;-
Aivee;Aivee;1;10439;-;-
Aivy;Aivy;1;10439;-;-
Aixzan;Aixzan;1;10439;-;-
Aiya;Aiya;1;10439;-;-
Aiyana;Aiyana;19;2046;-;-
Aiyssa;Aiyssa;1;10439;-;-
Aiyun;Aiyun;1;10439;-;-
Aiza;Aiza;10;2981;1;1923
Aizah;Aizah;2;7246;-;-
Aizelin;Aizelin;1;10439;-;-
Aizeyosabor;Aizeyosabor;1;10439;-;-
Aja;Aja;6;3964;-;-
Ajaat;Ajaat;2;7246;-;-
Ajana;Ajana;47;1204;5;755
Ajda;Ajda;10;2981;-;-
Ajdina;Ajdina;7;3644;-;-
Ajeneta;Ajeneta;1;10439;-;-
Ajescha;Ajescha;1;10439;-;-
Ajeta;Ajeta;4;4969;-;-
Ajete;Ajete;1;10439;-;-
Ajîn;Ajîn;1;10439;-;-
Ajka;Ajka;3;5829;-;-
Ajkuna;Ajkuna;2;7246;-;-
Ajla;Ajla;442;313;28;207
Ajlana;Ajlana;2;7246;1;1923
Ajlena;Ajlena;2;7246;-;-
Ajlin;Aileen;62;1002;3;1029
Ajlina;Aileen;47;1204;2;1339
Ajlinda;Ajlinda;1;10439;-;-
Ajlisha;Ajlisha;1;10439;-;-
Ajmani;Ajmani;1;10439;-;-
Ajmone;Ajmone;1;10439;-;-
Ajna;Ajna;111;722;9;520
Ajne;Ajna;2;7246;-;-
Ajnela;Ajnela;1;10439;-;-
Ajnija;Ajnija;1;10439;-;-
Ajnisha;Ajnisha;4;4969;-;-
Ajola;Ajola;4;4969;1;1923
Ajona;Ajona;1;10439;-;-
Ajonne;Ajonne;1;10439;-;-
Ajra;Ajra;7;3644;1;1923
Ajrije;Ajrije;1;10439;-;-
Ajsa;Ayşe;8;3378;-;-
Ajša;Ayşe;12;2676;-;-
Ajşa;Ayşe;1;10439;-;-
Ajsan;Ajsan;1;10439;-;-
Ajscha;Ayşe;4;4969;-;-
Ajschat;Ajschat;6;3964;1;1923
Ajşe;Ayşe;1;10439;-;-
Ajsela;Ajsela;2;7246;-;-
Ajsen;Ajsen;1;10439;-;-
Ajser;Ajser;1;10439;-;-
Ajsha;Ayşe;7;3644;3;1029
Ajshat;Ajshat;1;10439;-;-
Ajshe;Ayşe;9;3164;-;-
Akachukwu;Akachukwu;1;10439;-;-
Akane;Akane;1;10439;1;1923
Akarsu;Akarsu;1;10439;-;-
Akasemi;Akasemi;1;10439;-;-
Akasha;Akasha;8;3378;-;-
Akashimka;Akashimka;1;10439;-;-
Akasya;Akasya;17;2184;-;-
Akeesha;Akeesha;1;10439;-;-
Akela;Akela;1;10439;-;-
Akemi;Akemi;2;7246;-;-
Akgül;Akgül;1;10439;-;-
Akhila;Akhila;1;10439;-;-
Aki;Aki;2;7246;1;1923
Akida;Akida;1;10439;-;-
Akide;Akide;1;10439;-;-
Akiko;Akiko;1;10439;-;-
Akila;Akila;1;10439;1;1923
Akile;Akile;3;5829;-;-
Akile-Berfin;Akile-Berfin;1;10439;-;-
Akilina;Akilina;1;10439;-;-
Akino;Akino;1;10439;-;-
Akira;Akira;2;7246;-;-
Akissi;Akissi;1;10439;-;-
Akkiz;Akkiz;1;10439;-;-
Aklina;Aklina;1;10439;-;-
Akriti;Akriti;1;10439;-;-
Aksa;Aksa;7;3644;-;-
Aksenija;Aksenija;1;10439;1;1923
Akshara;Akshara;2;7246;-;-
Akshaya;Akshaya;1;10439;-;-
Akshita;Akshita;1;10439;-;-
Akshra;Akshra;1;10439;-;-
Akua;Akua;1;10439;-;-
Akulina-Adele;Akulina-Adele;1;10439;-;-
Akuvi;Akuvi;1;10439;1;1923
Akyla;Akyla;1;10439;-;-
Ala;Ala;8;3378;1;1923
Alaa;Alaa;30;1575;1;1923
Alaara;Alaara;1;10439;-;-
Alae;Alae;1;10439;-;-
Alaere;Alaere;1;10439;-;-
Alaia;Alaia;4;4969;1;1923
Alaïa;Alaia;1;10439;-;-
Alaina;Alana;3;5829;1;1923
Alaine;Alaine;1;10439;-;-
Alaïs;Alaïs;1;10439;-;-
Alaja;Alaja;1;10439;-;-
Alajah;Alajah;1;10439;-;-
Alajda;Alajda;1;10439;-;-
Alalina;Alalina;1;10439;-;-
Alam;Alam;1;10439;-;-
Alamako;Alamako;1;10439;-;-
Alamea;Alamea;5;4385;-;-
Alana;Alana;25;1756;1;1923
Alana-Alicia;Alana-Alicia;1;10439;-;-
Alanah;Alana;1;10439;-;-
Alana-Mae;Alana-Mae;1;10439;-;-
Alandina;Alandina;1;10439;-;-
Alani;Alani;3;5829;-;-
Alanis;Alana;5;4385;1;1923
Alanna;Alana;4;4969;-;-
Alannah;Alana;3;5829;-;-
Alanur;Alanur;5;4385;-;-
Alara;Alara;141;622;9;520
Alära;Alära;1;10439;-;-
Alara-Sinem;Alara-Sinem;1;10439;-;-
Alara-Su;Alara-Su;1;10439;-;-
Alaya;Alaya;5;4385;2;1339
Alayah;Alayah;1;10439;-;-
Alayna;Alana;3;5829;-;-
Alba;Alba;116;710;11;451
Albaluz;Albaluz;1;10439;-;-
Alba-Marie;Alba-Marie;1;10439;-;-
Alba-Mira;Alba-Mira;1;10439;-;-
Albana;Albana;12;2676;-;-
Albanita;Albanita;1;10439;1;1923
Albany;Albany;1;10439;-;-
Alba-Sophia;Alba-Sophia;1;10439;-;-
Albatoul;Albatoul;1;10439;-;-
Albena;Albena;2;7246;-;-
Albenita;Albenita;1;10439;-;-
Alberina;Alberina;2;7246;-;-
Alberine;Alberine;1;10439;-;-
Alberta;Alberta;7;3644;1;1923
Albertina;Albertina;14;2464;-;-
